date,Equity,Quality,Duration,Gold
2025-01-02,0.0042,0.0021,-0.0010,0.0008
2025-01-03,-0.0065,-0.0030,0.0028,0.0014
2025-01-06,0.0031,0.0017,0.0009,-0.0022
2025-01-07,0.0012,0.0008,-0.0015,0.0030
2025-01-08,-0.0024,-0.0012,0.0011,0.0004
2025-01-09,0.0056,0.0034,-0.0020,-0.0007
2025-01-10,-0.0038,-0.0021,0.0025,0.0019
2025-01-13,0.0029,0.0015,-0.0004,-0.0011
2025-01-14,0.0007,0.0011,0.0018,0.0024
2025-01-15,0.0061,0.0032,-0.0019,-0.0003
2025-01-16,-0.0047,-0.0026,0.0031,0.0012
2025-01-17,0.0022,0.0010,0.0006,-0.0016
2025-01-20,0.0018,0.0013,-0.0008,0.0021
2025-01-21,-0.0052,-0.0035,0.0022,0.0009
2025-01-22,0.0049,0.0029,-0.0014,-0.0005
2025-01-23,0.0035,0.0020,0.0003,0.0017
2025-01-24,-0.0019,-0.0007,0.0016,-0.0020
2025-01-27,0.0026,0.0014,-0.0006,0.0006
2025-01-28,-0.0031,-0.0018,0.0020,0.0011
2025-01-29,0.0053,0.0030,-0.0012,-0.0009
2025-01-30,0.0014,0.0009,0.0007,0.0023
2025-01-31,-0.0041,-0.0022,0.0029,0.0015
2025-02-03,0.0038,0.0024,-0.0011,-0.0004
2025-02-04,0.0021,0.0012,0.0005,0.0018
2025-02-05,-0.0028,-0.0016,0.0017,-0.0013

